Studies,Event1,Total1,Event0,Total0,Subgrougs
Fleischmann et al. 2012,0,49,0,34,Tofacitinib
Kremer et al.2012,0,71,0,69,Tofacitinib
Kremer et al.2009,0,61,0,65,Tofacitinib
Fleischmann et al. 2017,0,651,2,651,Baricitinib
Taylor et al.2017,1,78,2,72,Baricitinib
Dougados et al.2016,1,177,2,176,Baricitinib
Genovese et al.2016,2,24,0,49,Baricitinib
Tanaka et al.2016,0,487,0,488,Baricitinib
Keystone et al. 2014,0,52,1,98,Baricitinib
Tanaka et al.2019,0,102,0,102,Peficitinib 
Takeuchi et al. 2019,0,174,0,170,Peficitinib 
Genovese et al.2017,1,303,1,309,Peficitinib 
Kivitz et al.2017,0,58,0,56,Peficitinib 
Takeuchi et al.2015,0,227,1,228,Peficitinib 
Rubbert-Roth et al.2020,1,70,0,72,Upadacitinib
Fleischmann et al.2019,0,64,3,51,Upadacitinib
Combe et al. 2021,1,480,2,475,Filgotinib 
Kavanaugh et al.2016,0,215,0,210,Filgotinib 
