Study,Total1,Mean1,SD1,Total2,Mean2,SD2,Subgroup,SEX.,Age,RA duration ,Mean baseline DAS28- CRP 
Fleischmann et al. 2012,49,21.83,190.96,34,8.66,129.214,Tofacitinib,87.9,53.67,14.65,5.6
Kremer et al. 2012,71,10.98,33.283,69,-1.72,26.997,Tofacitinib,80.74,52.49,15.31,5.2
Kremer et al. 2009,61,14,44.28,65,-1,38.95,Tofacitinib,85.71,49.65,9.43,6.1
Fleischmann et al. 2017,215,13,29.326,210,4,28.983,Baricitinib,71.52,49.99,1.3,5.9
Taylor et al. 2017,487,16,22.068,488,-3,22.091,Baricitinib,77,53.5,10,5.75
Dougados et al. 2016,227,8.507,23.305,228,0.387,23.356,Baricitinib,82.5,51.5,7.5,5.55
Genovese et al. 2016,177,8.8,14.635,176,0.6,17.246,Baricitinib,83,56,14,5.9
Tanaka et al. 2016,24,13.051,15.565,49,-1.16,13.728,Baricitinib,79.67,53.2,5.36,4.8
Keystone et al. 2014,52,9.5,30.3,98,-4.7,25.1,Baricitinib,81.45,50.39,5.37,5.43
Takeuchi et al. 2019,174,9.513,18.097,170,0.619,14.965,Peficitinib,71.5,56.92,4.35,5.4
Tanaka et al. 2019,102,10.87,27.57,102,0.77,18.83,Peficitinib,74.4,55.65,8.7,5.4
Genovese et al. 2017,64,2.02,9.65,51,1.21,7.93,Peficitinib,80.2,53.57,10.16,5.9
Kivitz et al. 2017,78,2.7,18.43,72,1.47,19.61,Peficitinib,84.7,53.43,7.25,5.5
Takeuchi et al. 2015,58,8.04,23.4,56,-6.26,18.52,Peficitinib,82.6,52.88,6.95,5.25
Combe et al. 2021,480,12,25.9,475,5,23.4,Filgotinib,76.75,52.5,9.5,6.2
Kavanaugh et al. 2016,70,10.815,32.353,72,-0.3867,19.687,Filgotinib,82.69,53,7.89,5.7
Rubbert-Roth et al. 2020,303,14.31,29.39,309,1.93,26.3,Upadacitinib,82,55.55,12.1,5.8
Fleischmann et al. 2019,651,19.84,30.01,651,-1.93,24.75,Upadacitinib,79.5,54,8,5.8
